
List of user-set options:

                                    Name   Value                used
                           linear_solver = ma57                  yes
                  ma57_automatic_scaling = yes                   yes
                                max_iter = 2000                  yes
                             mu_strategy = adaptive              yes
                             output_file = ProjectOCPIPOPTinfo.txt  yes
                             print_level = 5                     yes
                      print_user_options = yes                   yes
                                     tol = 1e-10                 yes
                   warm_start_init_point = no                    yes
This is Ipopt version 3.12.9, running with linear solver ma57.

Number of nonzeros in equality constraint Jacobian...:  4117012
Number of nonzeros in inequality constraint Jacobian.:        1
Number of nonzeros in Lagrangian Hessian.............:   581990

Total number of variables............................:   484993
                     variables with only lower bounds:        0
                variables with lower and upper bounds:   484993
                     variables with only upper bounds:        0
Total number of equality constraints.................:   387993
Total number of inequality constraints...............:        1
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        1
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0 -1.0000000e+01 7.91e-03 2.66e-04   0.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1 -9.3095162e+00 4.93e-04 1.37e+02  -6.3 1.63e+00    -  2.27e-01 1.00e+00h  1
   2 -9.3510709e+00 2.08e-05 3.03e+00  -6.4 9.28e-01    -  9.24e-01 1.00e+00h  1
   3 -9.3563330e+00 3.07e-08 1.05e-03  -7.5 2.72e-02    -  9.89e-01 1.00e+00h  1
   4 -9.5573409e+00 3.51e-05 6.43e-04  -5.4 2.57e+00    -  9.30e-01 6.44e-01h  1
   5 -9.9969418e+00 1.97e-03 4.72e-03  -5.6 6.00e-01  -4.0 6.81e-01 4.05e-01h  1
   6 -9.9999858e+00 1.92e-03 3.96e-02  -6.7 1.96e-02  -2.7 9.95e-01 2.19e-02h  1
   7 -9.9999710e+00 1.14e-07 1.71e-05  -7.0 1.77e-03  -3.1 1.00e+00 1.00e+00h  1
   8 -1.0000000e+01 2.07e-09 3.26e-05 -11.0 7.98e-06  -3.6 1.00e+00 9.82e-01h  1
   9 -1.0000000e+01 2.90e-13 1.02e-09 -11.0 1.18e-05  -4.1 1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10 -1.0000000e+01 2.53e-12 2.60e-07 -11.0 3.54e-05  -4.6 1.00e+00 1.00e+00h  1
  11 -1.0000000e+01 2.27e-11 1.81e-07 -11.0 1.04e-04  -5.1 1.00e+00 1.00e+00h  1
  12 -1.0000000e+01 2.03e-10 1.63e-08 -11.0 2.98e-04  -5.5 1.00e+00 1.00e+00h  1
  13 -1.0000000e+01 1.80e-09 1.66e-07 -11.0 7.81e-04  -6.0 1.00e+00 1.00e+00h  1
  14 -1.0000000e+01 1.58e-08 2.95e-07 -11.0 1.74e-03  -6.5 1.00e+00 1.00e+00h  1
  15 -1.0000000e+01 1.36e-07 1.33e-07 -11.0 3.15e-03  -7.0 1.00e+00 1.00e+00h  1
  16 -1.0000000e+01 1.95e-08 2.17e-07 -11.0 1.16e-03  -6.5 1.00e+00 1.00e+00h  1
